FECHA,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
2017-02-25,3.0,1.0,1.0,3.0,0.0,0.0,5.0,5.0,3.0,8.0,5.0,10.0,9.0,10.0,9.0,11.0,7.0,7.0,9.0,4.0,11.0,6.0,2.0,5.0
2017-02-26,3.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,8.0,4.0,5.0,4.0,7.0,6.0,3.0,5.0,4.0,3.0,2.0
2017-02-27,4.0,1.0,0.0,0.0,0.0,2.0,8.0,6.0,11.0,5.0,5.0,3.0,7.0,8.0,5.0,8.0,5.0,17.0,15.0,6.0,6.0,3.0,2.0,0.0
2017-02-28,0.0,0.0,0.0,0.0,1.0,3.0,5.0,4.0,7.0,6.0,5.0,4.0,4.0,12.0,13.0,7.0,14.0,18.0,11.0,7.0,5.0,7.0,3.0,0.0
2017-03-01,0.0,0.0,0.0,0.0,1.0,1.0,7.0,8.0,5.0,8.0,8.0,3.0,9.0,10.0,5.0,10.0,14.0,6.0,8.0,7.0,7.0,5.0,5.0,2.0
2017-03-02,1.0,0.0,0.0,1.0,2.0,3.0,9.0,5.0,4.0,6.0,7.0,5.0,3.0,5.0,7.0,8.0,7.0,14.0,6.0,2.0,4.0,6.0,0.0,3.0
2017-03-03,0.0,0.0,0.0,0.0,2.0,3.0,8.0,5.0,6.0,4.0,5.0,5.0,7.0,8.0,4.0,2.0,8.0,11.0,5.0,7.0,3.0,4.0,4.0,1.0
2017-03-04,4.0,0.0,1.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,7.0,7.0,10.0,14.0,5.0,9.0,3.0,8.0,6.0,8.0,8.0,9.0,3.0,2.0
2017-03-05,2.0,3.0,2.0,0.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,5.0,3.0,8.0,2.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,1.0
2017-03-06,1.0,1.0,1.0,0.0,0.0,4.0,10.0,5.0,11.0,3.0,5.0,2.0,6.0,8.0,2.0,8.0,7.0,11.0,4.0,6.0,3.0,4.0,1.0,1.0
2017-03-07,0.0,0.0,0.0,0.0,0.0,3.0,11.0,13.0,5.0,7.0,11.0,9.0,7.0,3.0,9.0,15.0,9.0,7.0,8.0,10.0,5.0,5.0,3.0,0.0
2017-03-08,1.0,0.0,1.0,0.0,0.0,9.0,22.0,16.0,14.0,10.0,9.0,9.0,11.0,9.0,7.0,5.0,9.0,7.0,9.0,6.0,6.0,6.0,2.0,0.0
2017-03-09,3.0,0.0,1.0,0.0,0.0,6.0,9.0,12.0,4.0,7.0,3.0,7.0,6.0,8.0,5.0,3.0,4.0,16.0,16.0,8.0,10.0,4.0,2.0,2.0
2017-03-10,0.0,0.0,0.0,0.0,0.0,3.0,8.0,9.0,6.0,6.0,6.0,9.0,9.0,12.0,6.0,7.0,4.0,10.0,6.0,5.0,8.0,3.0,5.0,3.0
2017-03-11,2.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0,6.0,6.0,12.0,8.0,11.0,6.0,13.0,8.0,7.0,9.0,6.0,4.0,3.0
2017-03-12,1.0,1.0,3.0,0.0,1.0,3.0,0.0,3.0,1.0,2.0,1.0,4.0,2.0,7.0,2.0,6.0,4.0,4.0,5.0,2.0,6.0,6.0,2.0,2.0
2017-03-13,0.0,0.0,1.0,1.0,0.0,3.0,9.0,7.0,7.0,8.0,9.0,2.0,5.0,9.0,2.0,6.0,8.0,10.0,5.0,4.0,5.0,2.0,2.0,0.0
2017-03-14,0.0,0.0,0.0,0.0,0.0,3.0,11.0,10.0,9.0,6.0,3.0,8.0,5.0,2.0,14.0,5.0,13.0,10.0,10.0,8.0,9.0,4.0,4.0,1.0
2017-03-15,1.0,0.0,0.0,0.0,0.0,3.0,12.0,10.0,5.0,6.0,8.0,5.0,9.0,6.0,4.0,7.0,8.0,4.0,11.0,8.0,6.0,4.0,4.0,2.0
2017-03-16,1.0,0.0,0.0,1.0,2.0,4.0,6.0,6.0,7.0,7.0,7.0,11.0,2.0,10.0,6.0,12.0,4.0,12.0,8.0,4.0,6.0,3.0,7.0,1.0
2017-03-17,1.0,1.0,0.0,0.0,0.0,4.0,9.0,12.0,10.0,1.0,3.0,9.0,7.0,2.0,5.0,10.0,11.0,10.0,4.0,10.0,6.0,2.0,1.0,3.0
2017-03-18,1.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,6.0,7.0,11.0,9.0,9.0,6.0,4.0,8.0,5.0,5.0,5.0,4.0,4.0,3.0,1.0
2017-03-19,3.0,0.0,3.0,4.0,0.0,2.0,3.0,2.0,3.0,2.0,3.0,7.0,5.0,5.0,6.0,4.0,5.0,0.0,1.0,7.0,1.0,4.0,3.0,0.0
2017-03-20,1.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,6.0,7.0,3.0,1.0,2.0,2.0,1.0,4.0,5.0,3.0,6.0,2.0,2.0
2017-03-21,1.0,1.0,0.0,0.0,0.0,3.0,10.0,13.0,7.0,9.0,8.0,9.0,5.0,7.0,14.0,4.0,11.0,12.0,12.0,6.0,4.0,7.0,1.0,1.0
2017-03-22,0.0,0.0,0.0,0.0,1.0,3.0,13.0,7.0,5.0,7.0,7.0,4.0,9.0,6.0,5.0,7.0,4.0,5.0,7.0,0.0,6.0,10.0,6.0,2.0
2017-03-23,1.0,2.0,0.0,1.0,1.0,1.0,7.0,6.0,4.0,2.0,4.0,6.0,4.0,10.0,6.0,4.0,5.0,3.0,1.0,5.0,2.0,4.0,2.0,1.0
2017-03-24,2.0,2.0,0.0,0.0,0.0,3.0,13.0,20.0,2.0,7.0,4.0,0.0,6.0,7.0,3.0,8.0,3.0,7.0,4.0,11.0,6.0,6.0,6.0,2.0
2017-03-25,3.0,1.0,2.0,2.0,1.0,0.0,2.0,4.0,3.0,3.0,7.0,4.0,9.0,5.0,11.0,3.0,5.0,6.0,3.0,7.0,7.0,3.0,2.0,4.0
2017-03-26,6.0,3.0,0.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,9.0,4.0,4.0,7.0,5.0,3.0,7.0,8.0,5.0,6.0,2.0,3.0,4.0
2017-03-27,1.0,1.0,0.0,1.0,0.0,3.0,14.0,5.0,4.0,1.0,7.0,4.0,5.0,5.0,7.0,6.0,8.0,6.0,5.0,9.0,6.0,7.0,3.0,0.0
2017-03-28,0.0,0.0,0.0,0.0,0.0,1.0,12.0,13.0,10.0,7.0,5.0,10.0,4.0,8.0,9.0,11.0,7.0,4.0,6.0,7.0,3.0,2.0,3.0,1.0
2017-03-29,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,3.0,7.0,9.0,9.0,11.0,9.0,7.0,4.0,6.0,15.0,10.0,11.0,6.0,4.0,1.0,0.0
2017-03-30,1.0,1.0,0.0,0.0,0.0,5.0,9.0,14.0,17.0,2.0,5.0,11.0,9.0,5.0,9.0,10.0,11.0,14.0,9.0,6.0,6.0,7.0,3.0,2.0
2017-03-31,2.0,0.0,0.0,0.0,0.0,2.0,9.0,16.0,8.0,8.0,10.0,6.0,5.0,7.0,10.0,5.0,10.0,16.0,7.0,11.0,6.0,4.0,3.0,1.0
2017-04-01,3.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,8.0,5.0,10.0,7.0,8.0,8.0,10.0,10.0,11.0,17.0,10.0,10.0,6.0,6.0,2.0,5.0
2017-04-02,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,5.0,3.0,3.0
2017-04-03,1.0,0.0,2.0,1.0,1.0,6.0,8.0,14.0,10.0,4.0,7.0,5.0,10.0,11.0,6.0,9.0,12.0,16.0,10.0,9.0,6.0,4.0,2.0,0.0
2017-04-04,0.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,8.0,5.0,6.0,7.0,9.0,7.0,4.0,12.0,9.0,11.0,8.0,5.0,5.0,3.0,1.0,1.0
2017-04-05,1.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.0,6.0,7.0,4.0,11.0,12.0,8.0,4.0,9.0,10.0,7.0,10.0,6.0,1.0,2.0,2.0
2017-04-06,3.0,0.0,0.0,1.0,0.0,3.0,12.0,13.0,7.0,7.0,4.0,8.0,8.0,7.0,10.0,9.0,9.0,13.0,6.0,10.0,5.0,2.0,0.0,0.0
2017-04-07,1.0,1.0,0.0,1.0,2.0,0.0,12.0,6.0,3.0,7.0,9.0,7.0,6.0,8.0,10.0,13.0,15.0,11.0,12.0,7.0,7.0,12.0,3.0,3.0
