TW,BARRIO,Lat,Lon,Dia_sem,Mes,Dia,Hora
2018-01-17 13:00:00,carloserestrepo,6.25560245,-75.5768864,MIERCOLES,1,17,13
2018-01-17 13:00:00,boston,6.24638726,-75.56119984,MIERCOLES,1,17,13
2018-01-17 13:00:00,castropol,6.21469651,-75.56991619,MIERCOLES,1,17,13
2018-01-17 13:00:00,cristorey,6.20742704,-75.58579022,MIERCOLES,1,17,13
2018-01-17 13:00:00,lasbrisas,6.31178739,-75.56103746,MIERCOLES,1,17,13
2018-01-17 13:00:00,bellohorizonte,6.2826857,-75.59204691,MIERCOLES,1,17,13
2018-01-17 13:00:00,bolivariana,6.24404524,-75.59277262,MIERCOLES,1,17,13
2018-01-17 14:00:00,sandiego,6.23121544,-75.56995186,MIERCOLES,1,17,14
2018-01-17 14:00:00,villatina,6.23537291,-75.53914736,MIERCOLES,1,17,14
2018-01-17 14:00:00,loscolores,6.26406179,-75.59352961,MIERCOLES,1,17,14
2018-01-17 14:00:00,barriocolon,6.24324978,-75.56661725,MIERCOLES,1,17,14
2018-01-17 14:00:00,santafe,6.22912969,-75.57718464,MIERCOLES,1,17,14
2018-01-17 15:00:00,villacarlota,6.21730041,-75.57716197,MIERCOLES,1,17,15
2018-01-15 14:00:00,manila,6.213904900000001,-75.57732159999999,LUNES,1,15,14
2018-01-15 14:00:00,cabecerasanantoniodeprado,6.17280816,-75.64350202,LUNES,1,15,14
2018-01-15 14:00:00,naranjal,6.24854508,-75.58093462,LUNES,1,15,14
2018-01-15 14:00:00,manriquecentralno2,6.26638199,-75.55098639,LUNES,1,15,14
2018-01-15 14:00:00,udatanasiogirardot,6.25383467,-75.59176996,LUNES,1,15,14
2018-01-15 15:00:00,belencito,6.250413,-75.61655153,LUNES,1,15,15
2018-01-15 15:00:00,carloserestrepo,6.25871175,-75.58015317,LUNES,1,15,15
2018-01-15 15:00:00,lacandelaria,6.2470287,-75.56478203,LUNES,1,15,15
2018-01-15 15:00:00,campoamor,6.21374917,-75.58245376,LUNES,1,15,15
2018-01-15 15:00:00,patiobonito,6.20761256,-75.57673716,LUNES,1,15,15
2018-01-15 16:00:00,cordoba,6.27820925,-75.57636588,LUNES,1,15,16
2018-01-15 16:00:00,manriqueoriental,6.26482765,-75.55061592,LUNES,1,15,16
2018-01-15 16:00:00,sanmartindeporres,6.29433632,-75.58144497,LUNES,1,15,16
2018-01-15 16:00:00,lagloria,6.22389805,-75.60593579,LUNES,1,15,16
2018-01-15 16:00:00,villanueva,6.253392099999999,-75.56228374,LUNES,1,15,16
2018-01-15 16:00:00,fatima,6.23486191,-75.5873814,LUNES,1,15,16
2018-01-15 16:00:00,miranda,6.2746515,-75.56450204,LUNES,1,15,16
2018-01-15 16:00:00,laalpujarra,6.24631385,-75.57525396,LUNES,1,15,16
2018-01-15 17:00:00,villacarlota,6.21730041,-75.57716197,LUNES,1,15,17
