BARRIO,Hora_0,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23
LaPilarica,2.0,1.0,1.0,0.0,0.0,2.0,7.0,8.0,7.0,2.0,5.0,5.0,4.0,3.0,7.0,3.0,7.0,7.0,7.0,5.0,1.0,8.0,1.0,3.0
LaPiñuela,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0
LaPradera,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,5.0,7.0,9.0,8.0,4.0,7.0,2.0,4.0,6.0,3.0,1.0
LaRosa,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,3.0,1.0,3.0,1.0,0.0
LaSalle,2.0,1.0,1.0,1.0,2.0,6.0,8.0,4.0,3.0,2.0,3.0,7.0,6.0,6.0,7.0,6.0,8.0,8.0,6.0,5.0,6.0,4.0,2.0,2.0
LaSierra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LaVerde,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0
Lalinde,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,6.0,5.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0,0.0,3.0
LasAcacias,2.0,1.0,3.0,4.0,5.0,5.0,9.0,14.0,14.0,12.0,14.0,17.0,21.0,19.0,17.0,17.0,25.0,22.0,11.0,22.0,11.0,14.0,6.0,2.0
LasBrisas,2.0,2.0,0.0,0.0,2.0,9.0,22.0,24.0,9.0,13.0,9.0,12.0,11.0,12.0,7.0,11.0,5.0,11.0,7.0,8.0,8.0,17.0,7.0,3.0
LasEsmeraldas,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,3.0,2.0,0.0
LasEstancias,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,9.0,6.0,4.0,3.0,5.0,2.0,3.0,2.0,0.0
LasGranjas,1.0,4.0,2.0,4.0,1.0,3.0,6.0,7.0,9.0,4.0,9.0,11.0,13.0,9.0,7.0,11.0,15.0,19.0,11.0,13.0,12.0,9.0,10.0,1.0
LasIndependencias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
